#ID                    add o tf ib tmrs a p e lo h tot alf b xv o p s  cl w d det cf trg SOU  U      l       b    ext  vc   Ak    stardens  a      b     J20     H20     K20     H-K    J-K     
2MASXJ03191603+5751063  8  0 1  0   0  0 0 0  9 9   0  8 1   1 0 0 0   2 7 0  0  0  0  0000  10   141.590   0.438  0  -2   1.00     3.70   25.0    9.0  13.732  13.700  12.846   0.85   0.89   
2MASXJ03192996+5755423  0  1 0  1   0  0 0 0  9 9   0  1 1   1 1 0 0   4 6 0  5  0  3  8307  10   141.575   0.519  0   1   0.96     3.70   24.0   18.7  12.995  12.085  11.609   0.48   1.39   
2MASXJ03201892+5723343  8  0 0  0   0  0 0 0  9 9   0  8 1   1 0 0 0   3 5 0  0  0  0  0000  10   141.955   0.126  0  -2   1.00     3.66   17.2   14.8  14.706  13.156  12.686   0.47   2.02   
2MASXJ03204665+5452179  8  0 1  1   0  0 0 0  9 9   0  8 1   1 0 0 0   1 3 0  0  0  0  0000  10   143.369  -1.962  0   1   0.59     3.65   35.2   19.0  13.320  12.326  11.879   0.45   1.44   
2MASXJ03220873+5759501  8  0 1  0   0  0 0 0  9 9   0  8 1   1 0 0 0   1 5 0  0  0  0  0000  10   141.834   0.767  0   1   0.95     3.69   20.2   13.7  15.121  13.725  12.702   1.02   2.42   
2MASXJ03221550+5752157  0  1 0  1   0  0 0 0  9 9   0  1 1   1 0 0 0   4 5 0  8  0  0  7179  10   141.915   0.669  0   1   1.02     3.67   24.6   21.2  14.343  12.859  12.011   0.85   2.33   
2MASXJ03225280+5839117  0  0 1  1   7  0 0 1  9 1   1  1 1   1 0 0 0   1 3 0  0  0  0  0000  7    141.557   1.369  0   1   0.66     3.70  142.8   85.7  10.981   9.937   9.464   0.47   1.52   
2MASXJ03241516+5812266  8  0 1  0   0  0 0 0  9 9   0  8 1   1 0 0 0   1 6 0  0  0  0  0000  8    141.952   1.095  0   1   1.06     3.57   17.6    7.0  15.455  13.811  12.961   0.85   2.49   
2MASXJ03242388+5810246  8  0 0  0   0  0 0 0  9 9   0  8 1   2 1 0 0   9 6 0  0  0  0  0000  8    141.986   1.077  0  -2   1.07     3.57   21.2   16.1  15.427  14.220  13.145   1.07   2.28   
2MASXJ03244319+5811161  0  1 1  1   0  0 0 0  9 9   0  1 1   1 1 0 0   2 5 0  8  0  0  7833  6    142.014   1.113  0   1   1.00     3.64   27.4   18.1  14.851  13.123  12.244   0.88   2.61   
2MASXJ03244946+4516333  0  0 1  1   1  0 0 0  1 9   4  1 2   1 0 0 0   1 5 0  0  0  0  0000  9    149.216  -9.625  0   1   0.11     3.52   39.0   10.9  12.406  11.648  11.346   0.30   1.06   
2MASXJ03245871+5310146  0  1 0  1   0  0 0 0  9 9   0  1 1   1 0 0 0   1 5 0  8  0  0  6847  3    144.817  -3.049  0   1   0.45     3.58   38.4   30.0  13.353  12.251  11.627   0.62   1.73   
2MASXJ03250655+5505033  8  0 1  0   0  0 0 0  9 9   0  8 1   1 0 0 0   1 5 0  0  0  0  0000  10   143.773  -1.445  0  -1   1.64     3.74   13.8    9.4  15.152  13.850  13.294   0.56   1.86   
2MASXJ03251590+5624122  0  1 1  1   0  0 0 0  9 9   0  1 1   1 0 0 0   1 3 0  8  0  0  6998  10   143.061  -0.334  0   1   0.93     3.66   32.6   18.9  14.149  12.595  11.939   0.66   2.21   
2MASXJ03255439+5633459  8  0 1  0   0  0 0 0  9 9   0  8 1   1 0 0 0   2 2 1  0  0  0  0000  10   143.047  -0.152  0  -2   1.01     3.67   17.2   10.7  14.370  13.017  12.363   0.65   2.01   
2MASXJ03264399+5419084  0  1 1  1   0  0 0 0  9 9   1  1 1   1 0 0 0   1 1 0  1  0  2  6912  10   144.394  -1.950  0   1   0.58     3.64   39.0   10.9  13.375  12.336  11.799   0.54   1.58   
2MASXJ03270534+4657595  0  1 1  1   1  0 0 0  1 1   1  1 2   1 0 0 0   1 4 0  1  2  5  8568  9    148.582  -8.006  0   1   0.17     3.53   61.6   20.9  11.484  10.619  10.311   0.31   1.17   
2MASXJ03272168+4959010  0  0 1  1   1  0 0 0  1 9   4  1 2   1 0 0 0   1 1 0  0  0  0  0000  9    146.908  -5.488  0   1   0.21     3.56   62.2   19.9  12.356  11.523  11.154   0.37   1.20   
2MASXJ03273938+5221060  0  1 0  1   0  0 0 0  9 9   0  1 1   1 0 0 0   3 5 0  8  0  0  7331  3    145.611  -3.503  0   1   0.39     3.60   33.8   21.0  12.037  11.140  10.778   0.36   1.26   
2MASXJ03274525+4656102  0  0 0  1   1  0 0 0  1 9   4  1 2   1 0 0 0   1 1 0  0  0  0  0000  9    148.694  -7.967  0   1   0.16     3.49   34.2   24.6  12.300  11.555  11.159   0.40   1.14   
2MASXJ03280783+5156168  8  0 0  0   0  0 0 0  9 9   0  8 1   1 0 0 0   2 4 0  0  0  0  0000  10   145.905  -3.804  0   1   0.39     3.55   23.4   12.2  12.946  12.031  11.646   0.39   1.30   
2MASXJ03281458+3029543  7  0 1  0  -4  0 0 0  9 9   4  8 3   2 0 0 0   1 1 0  0  0  0  0000  8    158.694 -21.275  0   1   0.36     3.03   36.6   11.7  13.402  12.390  11.950   0.44   1.45   
2MASXJ03283252+5853408  8  0 1  0   0  0 0 0  9 9   0  8 1   2 0 0 0   2 2 1  0  0  0  0000  8    142.033   1.978  5  -1   1.78     3.67   10.0    6.6  15.778  14.315  13.795   0.52   1.98   
2MASXJ03290046+5743233  8  0 0  0   0  0 0 0  9 9   0  8 1   1 0 0 0   2 2 0  0  0  0  0000  10   142.745   1.045  0   1   0.99     3.60   23.6   20.8  14.922  13.288  12.414   0.87   2.51   
2MASXJ03292877+5429573  0  1 1  1   0  0 0 0  9 9   1  1 1   1 0 0 0   1 1 0  1  0  2  6999  10   144.623  -1.577  0   1   0.78     3.67   42.0   18.5  13.381  12.084  11.476   0.61   1.91   
2MASXJ03295183+5824020  8  0 0  0   0  0 0 0  9 9   0  8 1   3 0 0 0   9 6 0  0  0  0  0000  8    142.455   1.667  0  -1   1.45     3.64   10.2   10.2       *       *  14.296      *      *   
2MASXJ03302536+5015272  0  0 0  1   7  0 0 0  1 9   4  1 1   1 0 0 0   3 4 0  0  0  0  0000  9    147.158  -4.984  0   1   0.25     3.65   36.8   33.9  12.306  11.337  11.017   0.32   1.29   
2MASXJ03312789+5823275  8  0 1  0   0  0 0 0  9 9   0  8 1   3 0 0 0   1 4 1  0  0  0  0000  8    142.633   1.779  0  -1   1.36     3.59   15.0    9.0       *       *  13.891      *      *   
2MASXJ03313677+5148312  0  1 0  1   0  0 0 0  9 9   0  1 1   1 0 0 0   4 5 0  8  0  0  7837  5    146.421  -3.605  0   1   0.38     3.64   23.0   19.8  13.082  12.071  11.615   0.46   1.47   
2MASXJ03320732+4747385  0  0 0  1   1  0 0 0  1 1   1  1 2   1 0 0 0   1 1 0  0  0  0  0000  9    148.810  -6.840  0   1   0.21     3.45   75.2   54.1  11.051  10.280  10.026   0.25   1.02   
2MASXJ03323427+4728438  0  0 0  1   1  0 0 0  1 9   4  1 2   1 0 0 0   1 4 0  0  0  0  0000  9    149.056  -7.053  0   1   0.21     3.47   46.2   26.8  12.078  11.265  10.865   0.40   1.21   
